Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
INV-16677900018,01/02/19,3870,Target Store T-1939 / Altoona,3414 8th St SW,Altoona,50009,POINT (-93.503783 41.644024),77,POLK,1011100,Blended Whiskies,395,PROXIMO,27605,Tin Cup,12,750,13.75,20.63,12,247.56,9,2.37
INV-16681900016,01/02/19,5286,Sauce,"108, College",Iowa City,52240,,52,JOHNSON,1082200,Imported Schnapps,260,DIAGEO AMERICAS,69940,Rumple Minze Peppermint Mini,12,500,13.5,20.25,12,243,6,1.58
INV-16679100108,01/02/19,2549,Hy-Vee Food Store / Indianola,910 N Jefferson,Indianola,50125,,91,WARREN,1062500,Flavored Rum,260,DIAGEO AMERICAS,72903,Captain Morgan Apple Smash Mini,12,500,4.96,7.44,1,7.44,0.5,0.13
INV-16685000002,01/02/19,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001,,31,DUBUQUE,1032100,Imported Vodkas,260,DIAGEO AMERICAS,34454,Ketel One,12,375,5.99,8.99,120,1078.8,45,11.88
INV-16693000020,01/02/19,5004,Ida Grove Food Pride,200 Susan Lawrence Dr,Ida Grove,51445,,47,IDA,1081200,Cream Liqueurs,260,DIAGEO AMERICAS,68036,Baileys Original Irish Cream,12,750,13,19.5,4,78,3,0.79
INV-16693100036,01/02/19,5151,IDA Liquor,"500, Hwy 175",Ida Grove,51445,,47,IDA,1011200,Straight Bourbon Whiskies,65,Jim Beam Brands,20248,Old Crow,6,1750,10.5,15.75,6,94.44,10.5,2.77
INV-16692900011,01/02/19,4116,Lake View Foods,223 Main St,Lake View,51450,,81,SAC,1081300,American Cordials & Liqueur,434,LUXCO INC,76486,Paramount Amaretto,12,750,3.5,5.25,12,63,9,2.37
INV-16692900001,01/02/19,4116,Lake View Foods,223 Main St,Lake View,51450,,81,SAC,1011200,Straight Bourbon Whiskies,85,Brown Forman Corp.,22215,Woodford Reserve,12,750,22.49,33.74,2,67.48,1.5,0.39
INV-16692900010,01/02/19,4116,Lake View Foods,223 Main St,Lake View,51450,,81,SAC,1012100,Canadian Whiskies,434,LUXCO INC,13038,Canadian Reserve Whisky,6,1750,9,13.5,6,81,10.5,2.77
INV-16702300022,01/02/19,3705,Liquor Locker,507 1st Ave #100,Rock Rapids,51246,,60,LYON,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,11296,Crown Royal,12,750,15.59,23.39,3,70.17,2.25,0.59
INV-16702300013,01/02/19,3705,Liquor Locker,507 1st Ave #100,Rock Rapids,51246,,60,LYON,1052100,Imported Brandies,420,MOET HENNESSY USA,48105,Hennessy VS,12,375,10.74,16.11,1,15.74,0.37,0.09
INV-16678900006,01/02/19,3651,Wal-Mart 1491 / Indianola,1500 North Jefferson,Indianola,50125,,91,WARREN,1031100,American Vodkas,55,SAZERAC NORTH AMERICA,35318,Barton Vodka,6,1750,6.92,10.38,6,62.28,10.5,2.77
INV-16678900013,01/02/19,3651,Wal-Mart 1491 / Indianola,1500 North Jefferson,Indianola,50125,,91,WARREN,1031100,American Vodkas,297,Laird & Company,35918,Five O'Clock Vodka,6,1750,7.2,10.8,6,64.8,10.5,2.77
INV-16678900001,01/02/19,3651,Wal-Mart 1491 / Indianola,1500 North Jefferson,Indianola,50125,,91,WARREN,1062200,White Rum,434,LUXCO INC,45278,Paramount White Rum,6,1750,7.84,11.76,6,70.56,10.5,2.77
INV-16678800049,01/02/19,2527,Hy-Vee Food Store #5 / Des Moines,1107 SE Army Post Rd,Des Moines,50315,POINT (-93.602372 41.526289),77,POLK,1041100,American Dry Gins,370,PERNOD RICARD USA,32238,Seagrams Extra Dry Gin,6,1750,11.99,17.99,6,107.94,10.5,2.77
INV-16676700070,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1012300,Single Malt Scotch,65,Jim Beam Brands,5404,Laphroaig Select,6,750,21.5,32.25,3,106.29,2.25,0.59
INV-16678800065,01/02/19,2527,Hy-Vee Food Store #5 / Des Moines,1107 SE Army Post Rd,Des Moines,50315,POINT (-93.602372 41.526289),77,POLK,1031200,American Flavored Vodka,260,DIAGEO AMERICAS,77740,Smirnoff Raspberry,12,750,8.25,12.38,12,148.56,9,2.37
INV-16676700058,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1022200,100% Agave Tequila,410,Patron Spirits Company,89646,Patron Anejo,12,750,31,46.5,2,93,1.5,0.39
INV-16679900120,01/02/19,5142,Smokin' Joe's #13 Tobacco and Liquor Outlet,2315 Mt Vernon Rd SE,Cedar Rapids,52303,,57,Linn,1082200,Imported Schnapps,260,DIAGEO AMERICAS,69940,Rumple Minze Peppermint Mini,12,500,13.5,20.25,12,243,6,1.58
INV-16676900018,01/02/19,4617,Lickety Liquor,2501 HUBBELL AVE,Des Moines,50317,POINT (-93.570489 41.607817),77,POLK,1022200,100% Agave Tequila,410,Patron Spirits Company,89646,Patron Anejo,12,750,31,46.5,1,46.5,0.75,0.19
INV-16676700010,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1041100,American Dry Gins,297,Laird & Company,29997,Five O'Clock Gin,12,1000,4.33,6.5,12,78,12,3.17
INV-16677000027,01/02/19,3456,Quick Shop / Clear Lake,904 N 8th St,Clear Lake,50428,POINT (-93.378772 43.142868),17,Cerro Gord,1011100,Blended Whiskies,65,Jim Beam Brands,22788,Beam's 8 Star Bl Whiskey,6,1750,8,12,6,72,10.5,2.77
INV-16677000010,01/02/19,3456,Quick Shop / Clear Lake,904 N 8th St,Clear Lake,50428,POINT (-93.378772 43.142868),17,Cerro Gord,1012400,Irish Whiskies,370,PERNOD RICARD USA,15667,Jameson Black Barrel,12,750,20.98,31.47,2,62.94,1.5,0.39
INV-16677200001,01/02/19,4301,Sahota Food Mart,1805 SE 14th St,Des Moines,50320,POINT (-93.59684900000002 41.57222),77,POLK,1022100,Mixto Tequila,395,PROXIMO,89199,Jose Cuervo Especial Reposado Square,12,375,5.5,8.25,12,99,4.5,1.18
INV-16677100010,01/02/19,5299,Pearl City Tobacco & Liquor Outlet,"200, Green Street",Muscatine,52761,POINT (-91.05788 41.413877),70,MUSCATINE,1022200,100% Agave Tequila,395,PROXIMO,89206,1800 Reposado,12,750,15.46,23.19,2,46.38,1.5,0.39
INV-16677100022,01/02/19,5299,Pearl City Tobacco & Liquor Outlet,"200, Green Street",Muscatine,52761,POINT (-91.05788 41.413877),70,MUSCATINE,1031100,American Vodkas,434,LUXCO INC,36308,Hawkeye Vodka,6,1750,7.17,10.76,6,64.56,10.5,2.77
INV-16676900020,01/02/19,4617,Lickety Liquor,2501 HUBBELL AVE,Des Moines,50317,POINT (-93.570489 41.607817),77,POLK,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10807,Crown Royal Regal Apple,12,750,15.59,23.39,12,280.68,9,2.37
INV-16679600094,01/02/19,2647,Hy-Vee #7 / Cedar Rapids,5050 Edgewood Rd,Cedar Rapids,52411,POINT (-91.701581 42.030129),57,LINN,1031200,American Flavored Vodka,380,Phillips Beverage,41694,UV Blue Raspberry,12,1000,7.5,11.25,4,45,4,1.05
INV-16677000020,01/02/19,3456,Quick Shop / Clear Lake,904 N 8th St,Clear Lake,50428,POINT (-93.378772 43.142868),17,Cerro Gord,1031100,American Vodkas,421,SAZERAC COMPANY  INC,38088,Platinum 7x Vodka,6,1750,9.44,14.16,6,84.96,10.5,2.77
INV-16676700053,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1081400,American Schnapps,65,Jim Beam Brands,82626,Dekuyper Cherry Pucker,12,750,6.5,9.75,2,19.42,1.5,0.39
INV-16676700027,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1011400,Tennessee Whiskies,85,Brown Forman Corp.,86668,Jack Daniels Tennessee Honey Mini,12,500,9.06,13.59,1,13.59,0.5,0.13
INV-16676800026,01/02/19,5092,Kum & Go #2035 / West Des Moines,7265 Vista Dr,West Des Moines,50265,POINT (-93.80783900000002 41.589057),77,POLK,1022200,100% Agave Tequila,410,Patron Spirits Company,88296,Patron Silver,12,750,27.5,41.25,2,82.5,1.5,0.39
INV-16676800025,01/02/19,5092,Kum & Go #2035 / West Des Moines,7265 Vista Dr,West Des Moines,50265,POINT (-93.80783900000002 41.589057),77,POLK,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,11294,Crown Royal,24,375,8,12,3,36,1.12,0.29
INV-16676600020,01/02/19,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1041100,American Dry Gins,55,SAZERAC NORTH AMERICA,30057,Fleischmann's Dry Gin,12,1000,3.5,5.25,2,12,2,0.52
INV-16676600011,01/02/19,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1032200,Imported Flavored Vodka,260,DIAGEO AMERICAS,75165,Ketel One Botanical Cucumber & Mint,12,750,12.5,18.75,12,225,9,2.37
INV-16676700023,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1052100,Imported Brandies,420,MOET HENNESSY USA,48105,Hennessy VS,12,375,10.74,16.11,12,188.88,4.5,1.18
INV-16676800015,01/02/19,5092,Kum & Go #2035 / West Des Moines,7265 Vista Dr,West Des Moines,50265,POINT (-93.80783900000002 41.589057),77,POLK,1081300,American Cordials & Liqueur,322,Prestige Wine & Spirits Group,75208,Kinky Mini,6,500,4.84,7.26,1,7.26,0.5,0.13
INV-16676700004,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1032100,Imported Vodkas,370,PERNOD RICARD USA,34006,Absolut Swedish Vodka 80prf,12,750,11.49,17.24,12,206.88,9,2.37
INV-16685400103,01/02/19,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001,,31,DUBUQUE,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,86887,Southern Comfort,12,1000,12.97,19.46,24,467.04,24,6.34
INV-16676600004,01/02/19,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1052100,Imported Brandies,479,Vin Divino Ltd,51506,Presidente Grape Brandy (pedro Domecq),12,750,8.49,12.74,24,305.76,18,4.75
INV-16676700056,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1082000,Imported Cordials & Liqueurs,410,Patron Spirits Company,65016,Patron Citronge Pineapple,12,750,13.75,20.63,2,41.26,1.5,0.39
INV-16677000009,01/02/19,3456,Quick Shop / Clear Lake,904 N 8th St,Clear Lake,50428,POINT (-93.378772 43.142868),17,Cerro Gord,1032200,Imported Flavored Vodka,370,PERNOD RICARD USA,34029,Absolut Citron,12,1000,14.99,22.49,4,89.96,4,1.05
INV-16676600002,01/02/19,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1062200,White Rum,154,DUNKEL CORPORATION,46939,Steel Drum,12,750,12.09,18.14,12,217.68,9,2.37
INV-16677000007,01/02/19,3456,Quick Shop / Clear Lake,904 N 8th St,Clear Lake,50428,POINT (-93.378772 43.142868),17,Cerro Gord,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11777,Black Velvet,12,1000,6.63,9.95,12,119.4,12,3.17
INV-16677000003,01/02/19,3456,Quick Shop / Clear Lake,904 N 8th St,Clear Lake,50428,POINT (-93.378772 43.142868),17,Cerro Gord,1062200,White Rum,35,BACARDI USA INC,43127,Bacardi Superior,12,1000,9.5,14.25,12,171,12,3.17
INV-16676900015,01/02/19,4617,Lickety Liquor,2501 HUBBELL AVE,Des Moines,50317,POINT (-93.570489 41.607817),77,POLK,1032100,Imported Vodkas,35,BACARDI USA INC,34433,Grey Goose,12,750,18.49,27.74,2,55.48,1.5,0.39
INV-16685400077,01/02/19,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001,,31,DUBUQUE,1052100,Imported Brandies,389,REMY COINTREAU USA INC,66296,Remy Martin V,6,750,16.83,25.25,2,50.5,1.5,0.39
INV-16676900010,01/02/19,4617,Lickety Liquor,2501 HUBBELL AVE,Des Moines,50317,POINT (-93.570489 41.607817),77,POLK,1052100,Imported Brandies,420,MOET HENNESSY USA,48106,Hennessy VS,12,750,19.99,29.99,12,359.88,9,2.37
INV-16686100006,01/02/19,5637,Catfish Charlie's,1630 East 16th St,Dubuque,52001,,31,DUBUQUE,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,11297,Crown Royal,12,1000,18.89,28.34,1,28.34,1,0.26
INV-16679600082,01/02/19,2647,Hy-Vee #7 / Cedar Rapids,5050 Edgewood Rd,Cedar Rapids,52411,POINT (-91.701581 42.030129),57,LINN,1031200,American Flavored Vodka,521,JEM Beverage Company,39825,Western Son Blueberry,12,750,9.01,13.52,4,54.08,3,0.79
INV-16676800020,01/02/19,5092,Kum & Go #2035 / West Des Moines,7265 Vista Dr,West Des Moines,50265,POINT (-93.80783900000002 41.589057),77,POLK,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10803,Crown Royal Regal Apple Mini,10,300,7.35,11.03,1,11.03,0.3,0.07
INV-16676700017,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1022200,100% Agave Tequila,85,Brown Forman Corp.,89274,El Jimador Anejo Tequila,6,750,14.37,21.56,6,129.36,4.5,1.18
INV-16676900009,01/02/19,4617,Lickety Liquor,2501 HUBBELL AVE,Des Moines,50317,POINT (-93.570489 41.607817),77,POLK,1012100,Canadian Whiskies,115,CONSTELLATION BRANDS INC,11771,Black Velvet Mini,10,600,6.8,10.2,10,102,6,1.58
INV-16676700005,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1032100,Imported Vodkas,421,SAZERAC COMPANY  INC,34366,Fris Danish Vodka,12,750,4.99,7.49,12,89.88,9,2.37
INV-16676900016,01/02/19,4617,Lickety Liquor,2501 HUBBELL AVE,Des Moines,50317,POINT (-93.570489 41.607817),77,POLK,1022200,100% Agave Tequila,410,Patron Spirits Company,88294,Patron Silver,12,375,14.5,21.75,3,65.25,1.12,0.29
INV-16679600186,01/02/19,2647,Hy-Vee #7 / Cedar Rapids,5050 Edgewood Rd,Cedar Rapids,52411,POINT (-91.701581 42.030129),57,LINN,1081400,American Schnapps,65,Jim Beam Brands,82787,Dekuyper Buttershots,12,1000,7.87,11.81,2,23.62,2,0.52
INV-16676600013,01/02/19,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1081400,American Schnapps,434,LUXCO INC,82127,Arrow Peach Schnapps,12,1000,5,7.5,12,90,12,3.17
INV-16676600017,01/02/19,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1052100,Imported Brandies,420,MOET HENNESSY USA,48164,Hennessy VSOP Privilege,12,750,30.49,45.74,12,539.88,9,2.37
INV-16677100029,01/02/19,5299,Pearl City Tobacco & Liquor Outlet,"200, Green Street",Muscatine,52761,POINT (-91.05788 41.413877),70,MUSCATINE,1041100,American Dry Gins,205,E & J Gallo Winery,31472,New Amsterdam Gin,24,200,1.99,2.99,24,89.76,4.8,1.26
INV-16676700003,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1042100,Imported Dry Gins,370,PERNOD RICARD USA,28795,Plymouth Gin,6,750,17.49,26.24,6,157.44,4.5,1.18
INV-16680000016,01/02/19,2588,Hy-Vee Food and Drug #6 / Cedar Rapids,4035 Mt Vernon Rd SE,Cedar Rapids,52403,POINT (-91.60978 41.976835),57,LINN,1081200,Cream Liqueurs,260,DIAGEO AMERICAS,68031,Baileys Original Irish Cream Mini,4,1000,25.25,37.88,1,37.88,1,0.26
INV-16676800023,01/02/19,5092,Kum & Go #2035 / West Des Moines,7265 Vista Dr,West Des Moines,50265,POINT (-93.80783900000002 41.589057),77,POLK,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64864,Fireball Cinnamon Whisky,24,375,5.33,8,12,96,4.5,1.18
INV-16676700031,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1082000,Imported Cordials & Liqueurs,35,BACARDI USA INC,47863,D'usse VSOP,12,375,16.34,24.51,2,49.02,0.75,0.19
INV-16677000004,01/02/19,3456,Quick Shop / Clear Lake,904 N 8th St,Clear Lake,50428,POINT (-93.378772 43.142868),17,Cerro Gord,1012100,Canadian Whiskies,65,Jim Beam Brands,10627,Canadian Club Whisky,12,1000,9.71,14.57,12,174.84,12,3.17
INV-16676700022,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1031100,American Vodkas,300,McCormick Distilling Co.,36904,Mccormick Vodka Pet,24,375,1.8,2.7,24,64.8,9,2.37
INV-16685400013,01/02/19,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001,,31,DUBUQUE,1011200,Straight Bourbon Whiskies,461,Skyy Spirits Inc,22156,Wild Turkey 101,12,750,14,21,3,63,2.25,0.59
INV-16678600021,01/02/19,4641,Kum & Go #573 / SE 14th DM,5830 SE 14th St,Des Moines,50315,,77,POLK,1031100,American Vodkas,205,E & J Gallo Winery,36968,New Amsterdam 80prf,24,375,3.5,5.25,6,31.5,2.25,0.59
INV-16676700069,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1022200,100% Agave Tequila,65,Jim Beam Brands,88548,Hornitos Plata,12,750,13.5,20.25,2,37.5,1.5,0.39
INV-16677100011,01/02/19,5299,Pearl City Tobacco & Liquor Outlet,"200, Green Street",Muscatine,52761,POINT (-91.05788 41.413877),70,MUSCATINE,1022200,100% Agave Tequila,410,Patron Spirits Company,88294,Patron Silver,12,375,14.5,21.75,1,21.75,0.37,0.09
INV-16676700029,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1022200,100% Agave Tequila,410,Patron Spirits Company,88291,Patron Silver Mini,10,300,20.3,30.45,1,30.45,0.3,0.07
INV-16678600041,01/02/19,4641,Kum & Go #573 / SE 14th DM,5830 SE 14th St,Des Moines,50315,,77,POLK,1031100,American Vodkas,260,DIAGEO AMERICAS,38008,Smirnoff 80prf PET,6,1750,14.75,22.13,6,132.78,10.5,2.77
INV-16680000074,01/02/19,2588,Hy-Vee Food and Drug #6 / Cedar Rapids,4035 Mt Vernon Rd SE,Cedar Rapids,52403,POINT (-91.60978 41.976835),57,LINN,1032200,Imported Flavored Vodka,370,PERNOD RICARD USA,34030,Absolut Citron,12,750,11.49,17.24,4,68.96,3,0.79
INV-16677100008,01/02/19,5299,Pearl City Tobacco & Liquor Outlet,"200, Green Street",Muscatine,52761,POINT (-91.05788 41.413877),70,MUSCATINE,1081300,American Cordials & Liqueur,434,LUXCO INC,76486,Paramount Amaretto,12,750,3.5,5.25,2,10.5,1.5,0.39
INV-16676700059,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1022200,100% Agave Tequila,330,Gemini Spirits,89882,Siete Leguas Reposado,6,750,29.5,44.25,1,44.25,0.75,0.19
INV-16677100001,01/02/19,5299,Pearl City Tobacco & Liquor Outlet,"200, Green Street",Muscatine,52761,POINT (-91.05788 41.413877),70,MUSCATINE,1701100,Temporary & Specialty Packages,65,Jim Beam Brands,100427,Knob Creek w/Mugs,6,750,20,30,2,60,1.5,0.39
INV-16679900048,01/02/19,5142,Smokin' Joe's #13 Tobacco and Liquor Outlet,2315 Mt Vernon Rd SE,Cedar Rapids,52303,,57,Linn,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64868,Fireball Cinnamon Whiskey,6,1750,15.33,23,1,23,1.75,0.46
INV-16676900014,01/02/19,4617,Lickety Liquor,2501 HUBBELL AVE,Des Moines,50317,POINT (-93.570489 41.607817),77,POLK,1012200,Scotch Whiskies,260,DIAGEO AMERICAS,4626,Buchanan's 12 Yr Deluxe Scotch,12,750,20.99,31.49,2,62.98,1.5,0.39
INV-16676700037,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1051100,American Brandies,205,E & J Gallo Winery,73755,E & J Apple,12,750,6.5,9.75,2,19.5,1.5,0.39
INV-16677100003,01/02/19,5299,Pearl City Tobacco & Liquor Outlet,"200, Green Street",Muscatine,52761,POINT (-91.05788 41.413877),70,MUSCATINE,1031100,American Vodkas,297,Laird & Company,35914,Five O'Clock Vodka,24,375,1.93,2.9,48,139.2,18,4.75
INV-16685400005,01/02/19,2524,Hy-Vee Food Store / Dubuque,3500 Dodge St,Dubuque,52001,,31,DUBUQUE,1012100,Canadian Whiskies,260,DIAGEO AMERICAS,10807,Crown Royal Regal Apple,12,750,15.59,23.39,12,280.68,9,2.37
INV-16677000008,01/02/19,3456,Quick Shop / Clear Lake,904 N 8th St,Clear Lake,50428,POINT (-93.378772 43.142868),17,Cerro Gord,1062100,Gold Rum,434,LUXCO INC,45247,Paramount Gold Rum,12,1000,4.42,6.63,3,19.89,3,0.79
INV-16677100013,01/02/19,5299,Pearl City Tobacco & Liquor Outlet,"200, Green Street",Muscatine,52761,POINT (-91.05788 41.413877),70,MUSCATINE,1031100,American Vodkas,205,E & J Gallo Winery,36966,New Amsterdam 80prf,48,100,1,1.5,48,72,4.8,1.26
INV-16676700007,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1031100,American Vodkas,255,Infinium Spirits,37888,Seagrams Extra Smooth Vodka,6,1750,10,15,6,90,10.5,2.77
INV-16677100004,01/02/19,5299,Pearl City Tobacco & Liquor Outlet,"200, Green Street",Muscatine,52761,POINT (-91.05788 41.413877),70,MUSCATINE,1031100,American Vodkas,300,McCormick Distilling Co.,36904,Mccormick Vodka Pet,24,375,1.8,2.7,24,64.8,9,2.37
INV-16676900003,01/02/19,4617,Lickety Liquor,2501 HUBBELL AVE,Des Moines,50317,POINT (-93.570489 41.607817),77,POLK,1031100,American Vodkas,300,McCormick Distilling Co.,36903,Mccormick Vodka,48,200,1.13,1.7,48,81.6,9.6,2.53
INV-16676700021,01/02/19,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64870,Fireball Cinnamon,48,100,0.9,1.35,96,129.6,9.6,2.53
INV-16678100007,01/02/19,5443,1st Stop Beverage Shop,2839 East University Ave.,Des Moines,50317,POINT (-93.561517 41.600476),77,POLK,1081600,Whiskey Liqueur,259,Heaven Hill Brands,27453,Cinerator Mini,12,500,4.25,6.38,12,76.56,6,1.58
